,Hit@1,Hit@10,Hit@30,Hit@50,Hit@100,MRR
ACM-DBLP-P (),0.618,0.912,0.941,0.947,0.959,0.719
"ACM-DBLP-P (no edge, )",0.445,0.836,0.905,0.925,0.941,0.577
"ACM-DBLP-P (no neigh, )",0.620,0.910,0.939,0.947,0.957,0.720
"ACM-DBLP-P (no pref, )",0.582,0.897,0.933,0.942,0.947,0.688
foursquare-twitter (),0.245,0.409,0.508,0.550,0.623,0.304
"foursquare-twitter (no edge, )",0.109,0.290,0.406,0.457,0.540,0.168
"foursquare-twitter (no neigh, )",0.139,0.304,0.394,0.432,0.498,0.197
"foursquare-twitter (no pref, )",0.149,0.325,0.408,0.449,0.512,0.210
phone-email (),0.326,0.749,0.931,0.984,0.999,0.471
"phone-email (no edge, )",0.166,0.555,0.835,0.940,0.998,0.298
"phone-email (no neigh, )",0.228,0.651,0.925,0.988,0.993,0.359
"phone-email (no pref, )",0.325,0.756,0.936,0.986,0.999,0.474
