,Hit@1,Hit@10,Hit@30,Hit@50,Hit@100,MRR,std@1,std@10,std@30,std@50,std@100,std_MRR
cora_(0.0_),0.996,1.000,1.000,1.000,1.000,0.998,0.000,0.000,0.000,0.000,0.000,0.000
cora_(0.1_),0.993,1.000,1.000,1.000,1.000,0.996,0.001,0.000,0.000,0.000,0.000,0.001
cora_(0.2_),0.960,0.988,0.996,0.997,0.999,0.971,0.006,0.003,0.001,0.001,0.001,0.004
cora_(0.3_),0.885,0.957,0.978,0.984,0.990,0.911,0.021,0.009,0.005,0.004,0.004,0.016
cora_(0.4_),0.749,0.904,0.940,0.951,0.965,0.806,0.039,0.015,0.013,0.012,0.009,0.031
cora_(0.5_),0.493,0.807,0.871,0.884,0.904,0.599,0.053,0.018,0.010,0.010,0.010,0.043
cora_(0.6_),0.294,0.715,0.826,0.840,0.857,0.424,0.032,0.024,0.011,0.011,0.012,0.031
cora_(0.7_),0.163,0.611,0.774,0.791,0.806,0.292,0.017,0.019,0.010,0.010,0.012,0.018
cora_(0.8_),0.098,0.518,0.730,0.752,0.768,0.216,0.007,0.015,0.008,0.008,0.007,0.009
cora_(0.9_),0.066,0.429,0.683,0.710,0.728,0.169,0.003,0.010,0.007,0.007,0.005,0.004
cora_(0.0_),0.996,1.000,1.000,1.000,1.000,0.998,0.000,0.000,0.000,0.000,0.000,0.000
cora_(0.1_robust),0.994,1.000,1.000,1.000,1.000,0.997,0.000,0.000,0.000,0.000,0.000,0.000
cora_(0.2_robust),0.960,0.989,0.996,0.997,0.999,0.970,0.002,0.000,0.000,0.000,0.000,0.001
cora_(0.3_robust),0.885,0.957,0.979,0.985,0.990,0.912,0.009,0.005,0.002,0.002,0.002,0.008
cora_(0.4_robust),0.759,0.906,0.944,0.954,0.967,0.812,0.028,0.008,0.006,0.006,0.004,0.021
cora_(0.5_robust),0.523,0.819,0.881,0.892,0.912,0.625,0.010,0.006,0.003,0.002,0.003,0.010
cora_(0.6_robust),0.285,0.709,0.824,0.838,0.854,0.416,0.026,0.015,0.008,0.007,0.008,0.025
cora_(0.7_robust),0.158,0.611,0.772,0.789,0.804,0.289,0.006,0.004,0.004,0.003,0.003,0.006
cora_(0.8_robust),0.095,0.508,0.726,0.747,0.762,0.211,0.002,0.006,0.004,0.003,0.002,0.002
cora_(0.9_robust),0.068,0.438,0.686,0.712,0.731,0.172,0.001,0.002,0.002,0.002,0.002,0.001
Douban_(0.0_),0.686,0.949,0.981,0.987,0.994,0.784,0.000,0.000,0.000,0.000,0.000,0.000
Douban_(0.1_),0.543,0.867,0.931,0.950,0.966,0.659,0.049,0.045,0.031,0.028,0.023,0.047
Douban_(0.2_),0.520,0.848,0.915,0.935,0.957,0.636,0.027,0.022,0.021,0.017,0.014,0.026
Douban_(0.3_),0.408,0.767,0.857,0.883,0.912,0.530,0.054,0.040,0.026,0.024,0.018,0.051
Douban_(0.4_),0.403,0.759,0.851,0.877,0.910,0.525,0.057,0.033,0.025,0.022,0.016,0.052
Douban_(0.5_),0.384,0.757,0.855,0.883,0.914,0.509,0.054,0.036,0.026,0.026,0.022,0.050
Douban_(0.6_),0.337,0.722,0.822,0.854,0.892,0.465,0.042,0.029,0.018,0.016,0.013,0.040
Douban_(0.7_),0.337,0.719,0.822,0.853,0.893,0.463,0.061,0.042,0.028,0.024,0.019,0.058
Douban_(0.8_),0.285,0.682,0.799,0.833,0.873,0.414,0.044,0.035,0.020,0.017,0.015,0.043
Douban_(0.9_),0.257,0.666,0.794,0.830,0.871,0.389,0.022,0.019,0.014,0.013,0.011,0.023
Douban_(0.0_),0.686,0.949,0.981,0.987,0.994,0.784,0.000,0.000,0.000,0.000,0.000,0.000
Douban_(0.1_robust),0.568,0.893,0.949,0.967,0.979,0.685,0.005,0.005,0.005,0.004,0.003,0.004
Douban_(0.2_robust),0.489,0.822,0.897,0.920,0.945,0.606,0.028,0.019,0.015,0.013,0.013,0.027
Douban_(0.3_robust),0.454,0.797,0.877,0.902,0.931,0.572,0.019,0.011,0.010,0.010,0.007,0.017
Douban_(0.4_robust),0.435,0.790,0.873,0.902,0.930,0.557,0.016,0.010,0.008,0.010,0.007,0.013
Douban_(0.5_robust),0.374,0.754,0.856,0.880,0.913,0.501,0.014,0.010,0.007,0.007,0.005,0.015
Douban_(0.6_robust),0.345,0.728,0.827,0.857,0.897,0.472,0.033,0.017,0.016,0.014,0.011,0.030
Douban_(0.7_robust),0.348,0.725,0.825,0.856,0.895,0.473,0.013,0.015,0.010,0.008,0.006,0.014
Douban_(0.8_robust),0.260,0.676,0.797,0.833,0.872,0.393,0.004,0.005,0.003,0.002,0.003,0.004
Douban_(0.9_robust),0.273,0.679,0.800,0.832,0.875,0.404,0.019,0.015,0.007,0.007,0.007,0.020
Douban_(0.0),0.686,0.949,0.981,0.987,0.994,0.784,0.000,0.000,0.000,0.000,0.000,0.000
Douban_(0.1_robust_strong),0.347,0.724,0.837,0.867,0.899,0.470,0.008,0.003,0.006,0.008,0.006,0.007
Douban_(0.2_robust_strong),0.379,0.754,0.855,0.882,0.914,0.505,0.036,0.029,0.022,0.021,0.017,0.035
Douban_(0.3_robust_strong),0.342,0.733,0.841,0.876,0.904,0.471,0.006,0.006,0.002,0.003,0.004,0.004
Douban_(0.4_robust_strong),0.368,0.746,0.838,0.866,0.902,0.495,0.008,0.004,0.006,0.007,0.004,0.006
Douban_(0.5_robust_strong),0.365,0.738,0.836,0.865,0.900,0.490,0.019,0.015,0.014,0.015,0.009,0.019
Douban_(0.6_robust_strong),0.352,0.728,0.833,0.862,0.895,0.477,0.020,0.013,0.011,0.010,0.009,0.020
Douban_(0.7_robust_strong),0.382,0.758,0.850,0.879,0.915,0.505,0.041,0.030,0.019,0.017,0.013,0.040
