,Hit@1,Hit@10,Hit@30,Hit@50,Hit@100,MRR,std@1,std@10,std@30,std@50,std@100,std_MRR
phone-email_(0.0_),0.324,0.746,0.932,0.985,0.999,0.469,0.000,0.000,0.000,0.000,0.000,0.000
phone-email_(0.1_),0.294,0.719,0.915,0.972,0.997,0.440,0.011,0.008,0.006,0.004,0.001,0.007
phone-email_(0.2_),0.276,0.685,0.887,0.956,0.991,0.416,0.008,0.008,0.007,0.004,0.002,0.006
phone-email_(0.3_),0.249,0.657,0.865,0.937,0.984,0.386,0.008,0.007,0.010,0.004,0.003,0.007
phone-email_(0.4_),0.237,0.644,0.850,0.921,0.980,0.374,0.012,0.015,0.008,0.005,0.004,0.012
phone-email_(0.5_),0.220,0.623,0.824,0.904,0.971,0.353,0.013,0.013,0.006,0.008,0.006,0.011
phone-email_(0.6_),0.205,0.588,0.800,0.887,0.962,0.332,0.009,0.013,0.013,0.010,0.005,0.008
phone-email_(0.7_),0.190,0.573,0.780,0.864,0.949,0.318,0.010,0.015,0.008,0.008,0.005,0.010
phone-email_(0.8_),0.190,0.566,0.764,0.852,0.939,0.315,0.009,0.007,0.012,0.010,0.005,0.008
phone-email_(0.9_),0.176,0.545,0.755,0.839,0.926,0.299,0.009,0.010,0.008,0.009,0.005,0.009
foursquare-twitter_(0.0_),0.257,0.444,0.533,0.578,0.651,0.321,0.000,0.000,0.000,0.000,0.000,0.000
phone-email_(0.1_robust),0.306,0.720,0.915,0.973,0.996,0.446,0.005,0.005,0.001,0.001,0.001,0.004
phone-email_(0.2_robust),0.277,0.683,0.887,0.955,0.992,0.416,0.002,0.003,0.005,0.004,0.001,0.002
phone-email_(0.3_robust),0.252,0.663,0.864,0.939,0.987,0.392,0.004,0.009,0.003,0.004,0.002,0.005
phone-email_(0.4_robust),0.242,0.641,0.846,0.920,0.977,0.374,0.009,0.003,0.003,0.003,0.001,0.006
phone-email_(0.5_robust),0.223,0.617,0.825,0.902,0.968,0.355,0.002,0.007,0.005,0.001,0.003,0.003
phone-email_(0.6_robust),0.207,0.597,0.808,0.885,0.961,0.337,0.007,0.006,0.002,0.002,0.003,0.006
phone-email_(0.7_robust),0.201,0.578,0.784,0.869,0.951,0.326,0.005,0.006,0.001,0.003,0.005,0.005
phone-email_(0.8_robust),0.193,0.559,0.760,0.850,0.938,0.314,0.005,0.004,0.002,0.003,0.002,0.003
phone-email_(0.9_robust),0.178,0.544,0.749,0.829,0.928,0.298,0.002,0.006,0.002,0.003,0.003,0.004
foursquare-twitter_(0.0_),0.257,0.444,0.533,0.578,0.651,0.321,0.000,0.000,0.000,0.000,0.000,0.000
foursquare-twitter_(0.1_),0.232,0.411,0.507,0.550,0.622,0.292,0.006,0.003,0.006,0.007,0.004,0.004
foursquare-twitter_(0.2_),0.212,0.389,0.494,0.539,0.607,0.271,0.007,0.007,0.005,0.005,0.008,0.004
foursquare-twitter_(0.3_),0.207,0.371,0.486,0.532,0.601,0.262,0.006,0.005,0.004,0.007,0.009,0.005
foursquare-twitter_(0.4_),0.200,0.358,0.476,0.525,0.593,0.254,0.006,0.005,0.006,0.005,0.006,0.005
foursquare-twitter_(0.5_),0.199,0.349,0.469,0.518,0.583,0.251,0.005,0.005,0.005,0.007,0.009,0.004
foursquare-twitter_(0.6_),0.201,0.343,0.461,0.513,0.580,0.252,0.005,0.006,0.006,0.006,0.011,0.005
foursquare-twitter_(0.7_),0.200,0.338,0.453,0.506,0.569,0.249,0.005,0.005,0.007,0.005,0.007,0.003
foursquare-twitter_(0.8_),0.199,0.341,0.448,0.502,0.569,0.250,0.004,0.005,0.005,0.006,0.007,0.004
