Dataset,Time_sep_rwr,Time_rwr,Time_cpot
G500,0.033,0.168,0.229
G1000,0.059,0.316,0.690
G2000,0.175,0.980,2.919
G3000,0.769,3.140,12.645
G4000,1.198,5.337,23.579
G5000,2.627,10.764,40.728
G6000,3.485,14.581,56.116
G7000,4.335,19.356,76.937
G8000,6.044,25.219,100.043
G9000,8.009,32.695,126.058
G10000,10.489,43.110,162.208
G11000,11.958,52.336,201.170
G12000,12.172,62.460,252.948
G13000,14.465,75.326,298.525
G14000,17.208,91.490,368.269
G15000,21.271,111.690,436.573

G500,0.109,0.199,0.223
G1000,0.225,0.342,0.497
G2000,0.443,0.917,1.995
G3000,1.300,3.218,10.037
G4000,1.962,5.375,17.571
G5000,3.678,10.533,29.227
G6000,5.100,14.939,42.748
G7000,6.314,19.982,58.671
G8000,8.426,25.307,72.904
G9000,10.543,32.419,90.854
G10000,13.797,43.116,115.547
G11000,15.196,50.437,139.797
G12000,15.749,60.779,174.286
G13000,18.434,73.149,206.752
G14000,22.448,89.820,247.218
G15000,25.240,106.511,289.894
